Button_ID,x0,y0,x1,y1,Parent_ID,xp,yp,zp,q1,q2,q3,q4,Idx
Target_Main,50,50,-50,-50,90,0,60.67,0,1,0,0,0,Target_Main
Target_Main,50,50,-50,-50,92,60.67,0,0,1,0,0,0,Target_Main
Target_Main,50,50,-50,-50,91,-60.67,0,0,1,0,0,0,Target_Main
Target_A,50,50,-40,-40,93,95.62,0,0,1,0,0,0,Target_A
Target_B,40,40,-40,-40,94,95.62,0,0,1,0,0,0,Target_B
Target_C,40,40,-40,-40,95,95.62,0,0,1,0,0,0,Target_C
Target_D,40,40,-40,-40,96,95.62,0,0,1,0,0,0,Target_D
Target_D,40,40,-40,-40,93,95.62,400,0,1,0,0,0,Target_D
Target_D,40,40,-40,-40,94,595.62,400,0,1,0,0,0,Target_D
Target_E,40,40,-40,-40,97,95.62,0,0,1,0,0,0,Target_E
Target_E,40,40,-40,-40,95,95.62,400,0,1,0,0,0,Target_E
Target_E,40,40,-40,-40,94,-404.38,400,0,1,0,0,0,Target_E
Target_E,40,40,-40,-40,93,-904.38,400,0,1,0,0,0,Target_E
Target_F,40,40,-40,-40,98,95.62,0,0,1,0,0,0,Target_F
Target_F,40,40,-40,-40,93,95.62,800,0,1,0,0,0,Target_F
Target_F,40,40,-40,-40,96,95.62,400,0,1,0,0,0,Target_F
Target_G,40,40,-40,-40,99,95.62,0,0,1,0,0,0,Target_G
Target_G,40,40,-40,-40,96,-404.38,400,0,1,0,0,0,Target_G
Target_G,40,40,-40,-40,94,95.62,800,0,1,0,0,0,Target_G
Target_G,40,40,-40,-40,93,-404.38,800,0,1,0,0,0,Target_G
Target_G,40,40,-40,-40,95,595.62,800,0,1,0,0,0,Target_G
Target_H,40,40,-40,-40,100,95.62,0,0,1,0,0,0,Target_H
Target_H,40,40,-40,-40,97,95.62,400,0,1,0,0,0,Target_H
Target_H,40,40,-40,-40,94,-404.38,800,0,1,0,0,0,Target_H
Target_H,40,40,-40,-40,95,95.62,800,0,1,0,0,0,Target_H
